metric,value
object_count,14
relationship_count,15
metadata_field_count,10
taxonomy_term_count,7
retrieval_record_count,6
ai_output_count,4
source_hierarchy_rule_count,8
human_review_record_count,4
correction_record_count,3
metadata_coverage,0.929
provenance_coverage,0.786
review_context_coverage,0.786
relationship_traceability,0.933
underspecified_relationship_risk,0.067
retrieval_review_coverage,0.833
grounding_link_count,4
review_link_count,2
revision_link_count,2
ranking_governance_link_count,1
orphan_count,0
review_needed_count,3
relationship_type_count,14
governance_check_count,10
